state,state_code,medical_colleges_total,govt_medical_colleges,pvt_medical_colleges,mbbs_seats_total,neet_exam_centers_2024,doctor_patient_ratio,phc_doctor_vacancy_pct,investigation_involvement_count,investigation_years,source
Andhra Pradesh,AP,48,17,31,6200,185,1:1100,18.5,0,,NMC data 2024; Lok Sabha Aug 2025
Arunachal Pradesh,AR,3,2,1,300,12,1:4900,62.0,0,,NMC data 2024; Rural Health Statistics
Assam,AS,12,7,5,1500,65,1:1800,38.0,0,,NMC data 2024
Bihar,BR,22,10,12,3100,245,1:2800,55.0,4,"2015;2023;2024;2026",NMC data 2024; CBI records
Chhattisgarh,CG,12,6,6,1400,52,1:2200,71.0,0,,NMC data 2024; PHC data shows 71% vacancy
Delhi,DL,12,7,5,1800,98,1:600,8.0,1,"2015",NMC data 2024
Goa,GA,3,1,2,350,8,1:800,12.0,0,,NMC data 2024
Gujarat,GJ,38,18,20,5200,165,1:1200,22.0,2,"2024;2026",NMC data 2024; CBI FIR 2024
Haryana,HR,18,6,12,2200,85,1:1500,28.0,1,"2015",NMC data 2024
Himachal Pradesh,HP,8,5,3,900,28,1:1000,20.0,0,,NMC data 2024
Jharkhand,JH,9,4,5,1100,55,1:2500,48.0,2,"2023;2024",NMC data 2024; CBI confirmed paper theft Hazaribagh
Karnataka,KA,68,24,44,9800,210,1:900,15.0,2,"2016;2017",NMC data 2024
Kerala,KL,38,12,26,4800,125,1:500,5.0,1,"2026",NMC data 2024; CBI FIR 2026
Madhya Pradesh,MP,28,13,15,3800,135,1:1800,42.0,1,"2015",NMC data 2024; Vyapam was state-level separate
Maharashtra,MH,72,25,47,10200,285,1:900,16.0,3,"2015;2024;2026",NMC data 2024; CBI records
Manipur,MN,3,2,1,300,10,1:3200,52.0,0,,NMC data 2024
Meghalaya,ML,2,1,1,200,8,1:4500,58.0,0,,NMC data 2024
Mizoram,MZ,1,1,0,100,5,1:3800,45.0,0,,NMC data 2024
Nagaland,NL,1,1,0,100,6,1:5200,65.0,0,,NMC data 2024
Odisha,OD,12,7,5,1500,72,1:1600,35.0,0,,NMC data 2024
Punjab,PB,18,5,13,2400,68,1:1100,18.0,1,"2015",NMC data 2024
Rajasthan,RJ,32,12,20,4200,195,1:1600,32.0,5,"2015;2019;2021;2024;2026",NMC data 2024; CBI/SOG/Jaipur Police records
Sikkim,SK,2,1,1,200,4,1:2800,40.0,0,,NMC data 2024
Tamil Nadu,TN,72,28,44,10500,225,1:700,10.0,2,"2016;2017",NMC data 2024; CB-CID records
Telangana,TS,38,12,26,5200,120,1:1000,15.0,0,,NMC data 2024
Tripura,TR,2,1,1,200,8,1:3000,48.0,0,,NMC data 2024
Uttar Pradesh,UP,78,28,50,10800,350,1:2000,40.0,2,"2015;2019",NMC data 2024; CBI records
Uttarakhand,UK,10,4,6,1200,32,1:1400,25.0,0,,NMC data 2024
West Bengal,WB,28,15,13,3500,145,1:1100,20.0,0,,NMC data 2024
