year,exam_name,conducting_body,integrity_status,integrity_score,rolling_3yr_avg,candidates_appeared,candidates_affected
2006,AIPMT,CBSE,Clean,4,4.0,245000,0
2007,AIPMT,CBSE,Clean,4,4.0,268000,0
2008,AIPMT,CBSE,Clean,4,4.0,298000,0
2009,AIPMT,CBSE,Clean,4,4.0,335000,0
2010,AIPMT,CBSE,Clean,4,4.0,372000,0
2011,AIPMT,CBSE,Clean,4,4.0,412000,0
2012,AIPMT,CBSE,Clean,4,4.0,455000,0
2013,NEET-UG,CBSE,Clean,4,4.0,710000,0
2014,AIPMT,CBSE,Minor,3,3.67,620000,0
2015,AIPMT,CBSE,Cancelled,0,2.33,663000,630000
2016,NEET-UG,CBSE,Minor,3,2.0,800000,5200
2017,NEET-UG,CBSE,Minor,3,2.0,1140000,3500
2018,NEET-UG,CBSE,Clean,4,3.33,1330000,0
2019,NEET-UG,NTA,Minor,3,3.33,1520000,30000
2020,NEET-UG,NTA,Clean,4,3.67,1590000,0
2021,NEET-UG,NTA,Minor,3,3.33,1610000,10000
2022,NEET-UG,NTA,Clean,4,3.67,1870000,0
2023,NEET-UG,NTA,Minor,3,3.33,2090000,50000
2024,NEET-UG,NTA,Major,1,2.67,2400000,2400000
2025,NEET-UG,NTA,Major,1,1.67,2210000,120000
2026,NEET-UG,NTA,Cancelled,0,0.67,2270000,2270000
