conducting_body,year,integrity_status,candidates_appeared,candidates_affected,arrests_made
CBSE,2006,Clean,245000,0,0
CBSE,2007,Clean,268000,0,0
CBSE,2008,Clean,298000,0,0
CBSE,2009,Clean,335000,0,0
CBSE,2010,Clean,372000,0,0
CBSE,2011,Clean,412000,0,0
CBSE,2012,Clean,455000,0,0
CBSE,2013,Clean,710000,0,0
CBSE,2014,Minor,620000,0,0
CBSE,2015,Cancelled,663000,630000,350
CBSE,2016,Minor,800000,5200,18
CBSE,2017,Minor,1140000,3500,12
CBSE,2018,Clean,1330000,0,0
NTA,2019,Minor,1520000,30000,7
NTA,2020,Clean,1590000,0,0
NTA,2021,Minor,1610000,10000,7
NTA,2022,Clean,1870000,0,0
NTA,2023,Minor,2090000,50000,0
NTA,2024,Major,2400000,2400000,40
NTA,2025,Major,2210000,120000,15
NTA,2026,Cancelled,2270000,2270000,25
