year,integrity_status,severity_weight,arrests_made,candidates_affected,cumulative_severity
2006,Clean,0,0,0,0
2007,Clean,0,0,0,0
2008,Clean,0,0,0,0
2009,Clean,0,0,0,0
2010,Clean,0,0,0,0
2011,Clean,0,0,0,0
2012,Clean,0,0,0,0
2013,Clean,0,0,0,0
2014,Minor,1,0,0,1
2015,Cancelled,5,350,630000,6
2016,Minor,1,18,5200,7
2017,Minor,1,12,3500,8
2018,Clean,0,0,0,8
2019,Minor,1,7,30000,9
2020,Clean,0,0,0,9
2021,Minor,1,7,10000,10
2022,Clean,0,0,0,10
2023,Minor,1,0,50000,11
2024,Major,3,40,2400000,14
2025,Major,3,15,120000,17
2026,Cancelled,5,25,2270000,22
