year,candidates_appeared,prev_year,absolute_change,pct_change,integrity_status,prev_year_status,pattern
2006,245000,,,,Clean,,Normal
2007,268000,245000.0,23000.0,9.4,Clean,Clean,Normal
2008,298000,268000.0,30000.0,11.2,Clean,Clean,Normal
2009,335000,298000.0,37000.0,12.4,Clean,Clean,Normal
2010,372000,335000.0,37000.0,11.0,Clean,Clean,Normal
2011,412000,372000.0,40000.0,10.8,Clean,Clean,Normal
2012,455000,412000.0,43000.0,10.4,Clean,Clean,Normal
2013,710000,455000.0,255000.0,56.0,Clean,Clean,Normal
2014,620000,710000.0,-90000.0,-12.7,Minor,Clean,Normal
2015,663000,620000.0,43000.0,6.9,Cancelled,Minor,Normal
2016,800000,663000.0,137000.0,20.7,Minor,Cancelled,Resilient growth despite disruption
2017,1140000,800000.0,340000.0,42.5,Minor,Minor,Normal
2018,1330000,1140000.0,190000.0,16.7,Clean,Minor,Normal
2019,1520000,1330000.0,190000.0,14.3,Minor,Clean,Normal
2020,1590000,1520000.0,70000.0,4.6,Clean,Minor,Normal
2021,1610000,1590000.0,20000.0,1.3,Minor,Clean,Normal
2022,1870000,1610000.0,260000.0,16.1,Clean,Minor,Normal
2023,2090000,1870000.0,220000.0,11.8,Minor,Clean,Normal
2024,2400000,2090000.0,310000.0,14.8,Major,Minor,Normal
2025,2210000,2400000.0,-190000.0,-7.9,Major,Major,⚠️ Post-disruption decline
2026,2270000,2210000.0,60000.0,2.7,Cancelled,Major,Resilient growth despite disruption
